Date,HomeTeam,AwayTeam,FTHG,FTAG,Season,SeasonStart,ScoreDetail,Match
2025-10-25,HV 71,Rögle BK,0,5,2025-26,2025,"(0-1, 0-2, 0-2)",HV 71 - Rögle BK
2025-10-25,Leksands IF,Djurgårdens IF,1,3,2025-26,2025,"(0-1, 0-1, 1-1)",Leksands IF - Djurgårdens IF
2025-10-25,Timrå IK,Örebro HK,1,3,2025-26,2025,"(0-1, 0-1, 1-1)",Timrå IK - Örebro HK
2025-10-25,Luleå HF,Frölunda HC,0,3,2025-26,2025,"(0-1, 0-1, 0-1)",Luleå HF - Frölunda HC
2025-10-28,Färjestad BK,Timrå IK,1,2,2025-26,2025,"(1-1, 0-0, 0-1)",Färjestad BK - Timrå IK
2025-10-28,Leksands IF,IF Malmö Redhawks,3,0,2025-26,2025,"(1-0, 2-0, 0-0)",Leksands IF - IF Malmö Redhawks
2025-10-28,Linköping HC,HV 71,2,3,2025-26,2025,"(1-1, 0-1, 1-1)",Linköping HC - HV 71
2025-10-28,Örebro HK,Brynäs IF,2,3,2025-26,2025,"(0-2, 2-1, 0-0)",Örebro HK - Brynäs IF
2025-10-28,Rögle BK,Frölunda HC,2,0,2025-26,2025,"(1-0, 1-0, 0-0)",Rögle BK - Frölunda HC
2025-10-28,Skellefteå AIK,Luleå HF,3,0,2025-26,2025,"(0-0, 2-0, 1-0)",Skellefteå AIK - Luleå HF
2025-10-28,Växjö Lakers HC,Djurgårdens IF,2,3,2025-26,2025,"(0-0, 0-2, 2-0, 0-1)",Växjö Lakers HC - Djurgårdens IF
2025-10-30,Färjestad BK,Leksands IF,4,2,2025-26,2025,"(0-1, 2-0, 2-1)",Färjestad BK - Leksands IF
2025-10-30,Frölunda HC,Växjö Lakers HC,3,0,2025-26,2025,"(2-0, 0-0, 1-0)",Frölunda HC - Växjö Lakers HC
2025-10-30,IF Malmö Redhawks,Timrå IK,2,1,2025-26,2025,"(1-0, 0-0, 1-1)",IF Malmö Redhawks - Timrå IK
2025-10-30,Djurgårdens IF,HV 71,1,6,2025-26,2025,"(0-2, 1-2, 0-2)",Djurgårdens IF - HV 71
2025-10-30,Örebro HK,Linköping HC,7,2,2025-26,2025,"(4-0, 1-2, 2-0)",Örebro HK - Linköping HC
