Date,HomeTeam,AwayTeam,FTHG,FTAG
2016-05-02,Djurgarden,Ostersunds,3,0
2016-05-02,Gefle,Goteborg,2,6
2016-05-02,Kalmar,Orebro,3,2
2016-05-02,Norrkoping,Helsingborg,3,0
2016-05-07,Elfsborg,Gefle,2,0
2016-05-07,Ostersunds,Kalmar,1,0
2016-05-08,Helsingborg,Malmo FF,2,1
2016-05-08,Jonkopings,Norrkoping,0,2
2016-05-08,Hacken,AIK,2,3
2016-05-09,Goteborg,Djurgarden,2,1
2016-05-09,Orebro,Hammarby,3,2
2016-05-09,Sundsvall,Falkenbergs,2,1
2016-05-13,Jonkopings,Helsingborg,1,1
2016-05-14,Kalmar,Hammarby,1,1
2016-05-14,Malmo FF,Gefle,3,0
2016-05-15,Norrkoping,Sundsvall,3,1
2016-05-15,Orebro,Elfsborg,1,0
2016-05-15,Falkenbergs,Hacken,1,4
2016-05-15,Ostersunds,Goteborg,2,0
2016-05-16,AIK,Djurgarden,2,0
2016-05-18,Hacken,Jonkopings,3,1
2016-05-18,Hammarby,Malmo FF,2,3
2016-05-18,Helsingborg,Ostersunds,1,1
2016-05-18,Sundsvall,Elfsborg,1,3
2016-05-19,Djurgarden,Kalmar,0,3
2016-05-19,Gefle,Orebro,0,4
2016-05-19,Goteborg,Norrkoping,1,1
2016-05-20,Falkenbergs,AIK,2,3
2016-05-21,Sundsvall,Ostersunds,5,0
2016-05-22,Kalmar,Hacken,1,1
2016-05-22,Orebro,Norrkoping,2,2
2016-05-22,Djurgarden,Helsingborg,3,0
2016-05-22,Elfsborg,Jonkopings,3,3
2016-05-23,Gefle,AIK,0,1
2016-05-23,Goteborg,Hammarby,2,1
2016-05-23,Malmo FF,Falkenbergs,2,0
2016-05-28,AIK,Orebro,0,0
2016-05-28,Jonkopings,Sundsvall,1,1
2016-05-28,Ostersunds,Malmo FF,1,4
2016-05-29,Falkenbergs,Kalmar,1,2
2016-05-29,Hammarby,Gefle,2,1
2016-05-29,Helsingborg,Goteborg,1,3
2016-05-29,Hacken,Djurgarden,3,1
2016-05-29,Norrkoping,Elfsborg,0,0
2016-07-09,Djurgarden,Norrkoping,0,1
2016-07-09,Gefle,Falkenbergs,1,2
2016-07-09,Hacken,Hammarby,4,2
2016-07-10,Goteborg,Sundsvall,4,1
2016-07-10,Ostersunds,Jonkopings,1,0
2016-07-10,Helsingborg,Elfsborg,2,4
2016-07-10,Kalmar,AIK,1,1
2016-07-11,Malmo FF,Orebro,1,0
2016-07-16,Norrkoping,Ostersunds,3,3
2016-07-16,Sundsvall,Helsingborg,0,2
2016-07-17,Elfsborg,Goteborg,1,1
2016-07-17,AIK,Malmo FF,1,1
2016-07-17,Hammarby,Falkenbergs,3,3
2016-07-17,Orebro,Hacken,0,0
2016-07-18,Gefle,Kalmar,4,2
2016-07-18,Jonkopings,Djurgarden,1,0
2016-07-23,Falkenbergs,Orebro,1,3
2016-07-23,Malmo FF,Kalmar,1,1
2016-07-23,Norrkoping,Gefle,2,0
2016-07-24,Hammarby,AIK,0,3
2016-07-24,Goteborg,Jonkopings,2,1
2016-07-24,Helsingborg,Hacken,0,2
2016-07-25,Djurgarden,Sundsvall,1,3
2016-07-25,Elfsborg,Ostersunds,3,1
2016-07-30,Gefle,Hammarby,0,2
2016-07-30,Ostersunds,Elfsborg,0,0
2016-07-30,Sundsvall,Norrkoping,1,2
2016-07-31,Jonkopings,Goteborg,1,1
2016-07-31,AIK,Falkenbergs,2,0
2016-07-31,Hacken,Helsingborg,1,1
2016-08-01,Kalmar,Djurgarden,2,1
2016-08-01,Orebro,Malmo FF,0,3
2016-08-05,Helsingborg,Gefle,2,3
2016-08-06,Falkenbergs,Jonkopings,0,5
2016-08-06,Ostersunds,Sundsvall,4,0
2016-08-07,Malmo FF,AIK,2,0
2016-08-07,Elfsborg,Hacken,2,4
2016-08-07,Hammarby,Kalmar,2,1
2016-08-07,Norrkoping,Orebro,3,1
2016-08-08,Djurgarden,Goteborg,3,1
2016-08-10,Norrkoping,Hacken,3,1
2016-08-12,Goteborg,Falkenbergs,2,0
2016-08-13,AIK,Helsingborg,2,1
2016-08-13,Gefle,Norrkoping,0,0
2016-08-14,Kalmar,Malmo FF,1,1
2016-08-14,Djurgarden,Elfsborg,2,2
2016-08-14,Hacken,Orebro,0,1
2016-08-15,Jonkopings,Ostersunds,1,1
2016-08-15,Sundsvall,Hammarby,0,0
2016-08-20,Helsingborg,Kalmar,0,1
2016-08-20,Ostersunds,Djurgarden,1,0
2016-08-21,Hammarby,Goteborg,2,0
2016-08-21,Falkenbergs,Gefle,1,1
2016-08-21,Orebro,AIK,0,2
2016-08-22,Elfsborg,Sundsvall,4,0
2016-08-22,Malmo FF,Jonkopings,4,1
2016-08-27,Djurgarden,Gefle,2,1
2016-08-27,Kalmar,Norrkoping,0,1
2016-08-28,AIK,Hammarby,0,0
2016-08-28,Hacken,Ostersunds,3,1
2016-08-28,Jonkopings,Elfsborg,1,0
2016-08-28,Goteborg,Helsingborg,2,0
2016-08-28,Orebro,Falkenbergs,3,2
2016-08-28,Sundsvall,Malmo FF,0,1
2016-09-10,Elfsborg,Kalmar,1,1
2016-09-11,Falkenbergs,Djurgarden,1,2
2016-09-11,Sundsvall,AIK,1,3
2016-09-11,Norrkoping,Jonkopings,5,1
2016-09-11,Ostersunds,Helsingborg,2,0
2016-09-12,Gefle,Hacken,2,2
2016-09-12,Hammarby,Orebro,1,1
2016-09-12,Malmo FF,Goteborg,3,1
2016-09-16,Jonkopings,Hammarby,0,1
2016-09-16,Orebro,Sundsvall,3,3
2016-09-17,Kalmar,Ostersunds,2,0
2016-09-18,AIK,Gefle,1,0
2016-09-18,Elfsborg,Falkenbergs,5,0
2016-09-18,Helsingborg,Norrkoping,1,2
2016-09-18,Djurgarden,Malmo FF,3,1
2016-09-19,Hacken,Goteborg,2,2
2016-09-21,Djurgarden,AIK,0,3
2016-09-21,Gefle,Jonkopings,0,1
2016-09-21,Helsingborg,Sundsvall,2,1
2016-09-21,Kalmar,Falkenbergs,3,0
2016-09-21,Ostersunds,Norrkoping,0,2
2016-09-22,Goteborg,Orebro,3,2
2016-09-22,Hammarby,Hacken,2,3
2016-09-22,Malmo FF,Elfsborg,1,0
2016-09-24,Jonkopings,Kalmar,0,1
2016-09-25,Elfsborg,AIK,2,2
2016-09-25,Malmo FF,Helsingborg,2,0
2016-09-26,Falkenbergs,Hammarby,0,2
2016-09-26,Goteborg,Ostersunds,2,0
2016-09-26,Norrkoping,Djurgarden,1,3
2016-09-26,Orebro,Gefle,2,2
2016-09-26,Sundsvall,Hacken,0,0
2016-09-30,Helsingborg,Hammarby,0,1
2016-10-01,Sundsvall,Jonkopings,3,1
2016-10-01,Hacken,Malmo FF,2,4
2016-10-01,Ostersunds,Falkenbergs,6,1
2016-10-02,Gefle,Elfsborg,2,2
2016-10-02,Kalmar,Goteborg,4,2
2016-10-02,AIK,Norrkoping,6,0
2016-10-02,Djurgarden,Orebro,3,2
2016-10-15,Falkenbergs,Sundsvall,1,1
2016-10-16,AIK,Ostersunds,2,0
2016-10-16,Norrkoping,Malmo FF,1,2
2016-10-16,Orebro,Kalmar,2,1
2016-10-16,Elfsborg,Helsingborg,1,0
2016-10-16,Jonkopings,Hacken,1,1
2016-10-17,Goteborg,Gefle,3,3
2016-10-17,Hammarby,Djurgarden,4,2
